CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
1.01001E+11,6/30/2014 15:08,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,INTERSECTION of Coolidge Rd & Haskell St  Allston  MA,11,4,9,D14,Allston / Brighton,15,Ward 22,2201,,INTERSECTION Coolidge Rd & Haskell St,,42.293782,-71.16903,Constituent Call
1.01001E+11,6/11/2013 16:47,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,516 Lagrange St  West Roxbury  MA  02132,12,6,6,E5,West Roxbury,12,Ward 20,2013,R1,516 Lagrange St,2132,42.28356,-71.16167,Constituent Call
1.01001E+11,2/12/2014 12:35,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,,,,,,,,,,,,,42.3594,-71.0587,Constituent Call
1.01001E+11,2/12/2014 12:36,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,34 Harrison Ave  Boston  MA  02111,4,1C,2,A1,Downtown / Financial District,4,Ward 3,308,RC,34 Harrison Ave,2111,42.35184,-71.061,Constituent Call
1.01001E+11,7/31/2013 9:38,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,202 Baker St  West Roxbury  MA  02132,12,6,6,E5,West Roxbury,12,Ward 20,2005,R4,202 Baker St,2132,42.27651,-71.16723,Constituent Call
1.01001E+11,7/15/2014 15:51,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,538 Blue Hill Ave  Dorchester  MA  02121,7,3,4,B2,Roxbury,13,Ward 14,1403,C,538 Blue Hill Ave,2121,42.30543,-71.08422,Constituent Call
1.01001E+11,6/2/2014 20:16,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,9 Forbes St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,19,1901,R3,9 Forbes St,2130,42.321968,-71.108137,Self Service
1.01001E+11,5/29/2014 10:19,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,104 Pleasant St  Dorchester  MA  02125,7,3,3,C11,Dorchester,8,Ward 15,1504,R3,104 Pleasant St,2125,42.31215,-71.05878,Constituent Call
1.01001E+11,7/18/2014 8:29,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,30-108 Westminster Ave  Roxbury  MA  02119,9,10B,7,B2,Roxbury,13,11,1103,,30-108 Westminster Ave,2119,42.316189,-71.094062,Constituent Call
1.01001E+11,4/30/2014 9:45,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,85 Brunswick St  Dorchester  MA  02121,7,3,4,B2,Roxbury,13,Ward 14,1401,R3,85 Brunswick St,2121,42.31092,-71.08062,Constituent Call
